접수번호,CSI접수번호,공사명,시료명,비고,시험항목
M253-26-00496,AC-2026-117907,"남해 서면-여수 신덕 국도 건설공사",지오그리드,#1,"인장강도(기계);인장강도(폭);인장변형률(기계);인장변형률(폭)"
M253-26-00269,AC-2026-067251,사석,"남면 학동항 정비공사(총괄 및 1차분)",,"압축강도;비중;흡수율"
